id_pdc_local;statut_pdc;arrondissement;id_station_local;id_station_itinerance;nom_station;code_insee_commune;implantation_station;nbre_pdc;date_maj;condition_acces;adresse_station;coordonneesxy;gratuit;paiement_acte;paiement_cb;paiement_autre;reservation;observations;num_pdl;siren_amenageur;contact_amenageur;nom_amenageur;nom_operateur;contact_operateur;telephone_operateur;nom_enseigne;tarification;id_pdc_itinerance;date_mise_en_service;accessibilite_pmr;restriction_gabarit;station_deux_roues;puissance_nominale;prise_type_ef;prise_type_2;prise_type_combo_ccs;prise_type_chademo;prise_type_autre;prise_type_3;horaires;raccordement
FR*V75*EPX19*11*1;En service;19e Arrondissement;FR*V75*PPX19*11;FRV75PPX1911;Paris | Rue de Crimée 82;75119;Voirie;6;2024-07-01;Accès libre;82 Rue de Crimée 75019 Paris;48.8824, 2.3866;false;true;true;true;false;Paiement autre - badge RFID Belib ou autre, application Belib, QRCode sur chaque PDC, site internet Belib,Plus d'information - https://belib.paris.fr;7287264725213;531680445;assistance.technique@tevgo.fr;TOTALENERGIES;TOTALENERGIES;assistance.technique@tevgo.fr;01 85 16 94 02;Belib';https://belib.paris;FRV75EPX19111;2021-09-21T13:22:16+00:00;Non accessible;aucune restriction;False;7;True;True;False;False;False;False;24/7;Direct
FR*V75*EPX20*14*3;En service;20e Arrondissement;FR*V75*PPX20*14;FRV75PPX2014;Paris | Boulevard Mortier 15;75120;Voirie;5;2024-07-01;Accès libre;15 Boulevard Mortier 75020 Paris;48.8657, 2.4087;false;true;true;true;false;Paiement autre - badge RFID Belib ou autre, application Belib, QRCode sur chaque PDC, site internet Belib,Plus d'information - https://belib.paris.fr;7251953583191;531680445;assistance.technique@tevgo.fr;TOTALENERGIES;TOTALENERGIES;assistance.technique@tevgo.fr;01 85 16 94 02;Belib';https://belib.paris;FRV75EPX20143;2021-09-29T10:00:31+00:00;Non accessible;aucune restriction;False;7;True;True;False;False;False;False;24/7;Direct
FR*V75*EPX20*14*4;En service;20e Arrondissement;FR*V75*PPX20*14;FRV75PPX2014;Paris | Boulevard Mortier 15;75120;Voirie;5;2024-07-01;Accès libre;15 Boulevard Mortier 75020 Paris;48.8657, 2.4087;false;true;true;true;false;Paiement autre - badge RFID Belib ou autre, application Belib, QRCode sur chaque PDC, site internet Belib,Plus d'information - https://belib.paris.fr;7251953583191;531680445;assistance.technique@tevgo.fr;TOTALENERGIES;TOTALENERGIES;assistance.technique@tevgo.fr;01 85 16 94 02;Belib';https://belib.paris;FRV75EPX20144;2021-09-29T10:00:34+00:00;Non accessible;aucune restriction;False;7;True;True;False;False;False;False;24/7;Direct
FR*V75*EPX04*09*3;En service;Paris centre;FR*V75*PPX04*09;FRV75PPX0409;Paris | Rue Neuve Saint-Pierre 2;75104;Voirie;5;2024-07-01;Accès libre;2 Rue Neuve Saint-Pierre 75004 Paris;48.853573, 2.363958;false;true;true;true;false;Paiement autre - badge RFID Belib ou autre, application Belib, QRCode sur chaque PDC, site internet Belib,Plus d'information - https://belib.paris.fr;7165122934011;531680445;assistance.technique@tevgo.fr;TOTALENERGIES;TOTALENERGIES;assistance.technique@tevgo.fr;01 85 16 94 02;Belib';https://belib.paris;FRV75EPX04093;2021-10-12T15:46:49+00:00;Non accessible;aucune restriction;False;7;True;True;False;False;False;False;24/7;Direct
FR*V75*EPX06*10*5;En service;06e Arrondissement;FR*V75*PPX06*10;FRV75PPX0610;Paris | Rue Joseph Bara 15;75106;Voirie;5;2024-07-01;Accès libre;15 Rue Joseph Bara 75006 Paris;48.84189, 2.333149;false;true;true;true;false;Paiement autre - badge RFID Belib ou autre, application Belib, QRCode sur chaque PDC, site internet Belib,Plus d'information - https://belib.paris.fr;7305499182954;531680445;assistance.technique@tevgo.fr;TOTALENERGIES;TOTALENERGIES;assistance.technique@tevgo.fr;01 85 16 94 02;Belib';https://belib.paris;FRV75EPX06105;2021-10-19T15:48:19+00:00;Non accessible;aucune restriction;False;7;True;True;False;False;False;False;24/7;Direct
FR*V75*EPX05*12*7;En service;05e Arrondissement;FR*V75*PPX05*12;FRV75PPX0512;Paris | Rue Linnée 18;75105;Voirie;7;2024-07-01;Accès libre;18 Rue Linnée 75005 Paris;48.845257, 2.3548336;false;true;true;true;false;Paiement autre - badge RFID Belib ou autre, application Belib, QRCode sur chaque PDC, site internet Belib,Plus d'information - https://belib.paris.fr;7379739414469;531680445;assistance.technique@tevgo.fr;TOTALENERGIES;TOTALENERGIES;assistance.technique@tevgo.fr;01 85 16 94 02;Belib';https://belib.paris;FRV75EPX05127;2021-10-06T15:31:37+00:00;Non accessible;aucune restriction;False;7;True;True;False;False;False;False;24/7;Direct
FR*V75*EPX07*15*1;En service;07e Arrondissement;FR*V75*PPX07*15;FRV75PPX0715;Paris | Boulevard des Invalides  21;75107;Voirie;6;2024-07-01;Accès libre;21 Boulevard des Invalides 75007 Paris;48.85582, 2.3152447;false;true;true;true;false;Paiement autre - badge RFID Belib ou autre, application Belib, QRCode sur chaque PDC, site internet Belib,Plus d'information - https://belib.paris.fr;7347033191632;531680445;assistance.technique@tevgo.fr;TOTALENERGIES;TOTALENERGIES;assistance.technique@tevgo.fr;01 85 16 94 02;Belib';https://belib.paris;FRV75EPX07151;2021-12-14T14:25:52+00:00;Non accessible;aucune restriction;False;7;True;True;False;False;False;False;24/7;Direct
FR*V75*EPX08*17*1;En service;08e Arrondissement;FR*V75*PPX08*17;FRV75PPX0817;Paris | Avenue Matignon 2;75108;Voirie;6;2024-07-01;Accès libre;2 Avenue Matignon 75008 Paris;48.87006, 2.312597;false;true;true;true;false;Paiement autre - badge RFID Belib ou autre, application Belib, QRCode sur chaque PDC, site internet Belib,Plus d'information - https://belib.paris.fr;7453400767675;531680445;assistance.technique@tevgo.fr;TOTALENERGIES;TOTALENERGIES;assistance.technique@tevgo.fr;01 85 16 94 02;Belib';https://belib.paris;FRV75EPX08171;2021-10-19T15:26:30+00:00;Non accessible;aucune restriction;False;7;True;True;False;False;False;False;24/7;Direct
FR*V75*EPX09*09*2;En service;09e Arrondissement;FR*V75*PPX09*09;FRV75PPX0909;Paris | Rue la Fayette 56;75109;Voirie;6;2024-07-01;Accès libre;56 Rue la Fayette 75009 Paris;48.875465, 2.342083;false;true;true;true;false;Paiement autre - badge RFID Belib ou autre, application Belib, QRCode sur chaque PDC, site internet Belib,Plus d'information - https://belib.paris.fr;7115484728636;531680445;assistance.technique@tevgo.fr;TOTALENERGIES;TOTALENERGIES;assistance.technique@tevgo.fr;01 85 16 94 02;Belib';https://belib.paris;FRV75EPX09092;2022-08-19T13:00:25+00:00;Non accessible;aucune restriction;False;7;True;True;False;False;False;False;24/7;Direct
FR*V75*EPX10*09*1;En service;10e Arrondissement;FR*V75*PPX10*09;FRV75PPX1009;Paris | boulevard de la Villette  55;75110;Voirie;5;2024-07-01;Accès libre;55 boulevard de la Villette 75010 Paris;48.87565, 2.372715;false;true;true;true;false;Paiement autre - badge RFID Belib ou autre, application Belib, QRCode sur chaque PDC, site internet Belib,Plus d'information - https://belib.paris.fr;7155571559000;531680445;assistance.technique@tevgo.fr;TOTALENERGIES;TOTALENERGIES;assistance.technique@tevgo.fr;01 85 16 94 02;Belib';https://belib.paris;FRV75EPX10091;2021-11-23T16:26:00+00:00;Non accessible;aucune restriction;False;7;True;True;False;False;False;False;24/7;Direct
FR*V75*EPX10*12*1;En service;10e Arrondissement;FR*V75*PPX10*12;FRV75PPX1012;Paris | Rue du Faubourg Saint-Denis 91;75110;Voirie;4;2024-07-01;Accès libre;91 Rue du Faubourg Saint-Denis 75010 Paris;48.87407, 2.3551424;false;true;true;true;false;Paiement autre - badge RFID Belib ou autre, application Belib, QRCode sur chaque PDC, site internet Belib,Plus d'information - https://belib.paris.fr;7129956508680;531680445;assistance.technique@tevgo.fr;TOTALENERGIES;TOTALENERGIES;assistance.technique@tevgo.fr;01 85 16 94 02;Belib';https://belib.paris;FRV75EPX10121;2021-11-16T16:27:27+00:00;Non accessible;aucune restriction;False;7;True;True;False;False;False;False;24/7;Direct
FR*V75*EPX10*12*2;En service;10e Arrondissement;FR*V75*PPX10*12;FRV75PPX1012;Paris | Rue du Faubourg Saint-Denis 91;75110;Voirie;4;2024-07-01;Accès libre;91 Rue du Faubourg Saint-Denis 75010 Paris;48.87407, 2.3551424;false;true;true;true;false;Paiement autre - badge RFID Belib ou autre, application Belib, QRCode sur chaque PDC, site internet Belib,Plus d'information - https://belib.paris.fr;7129956508680;531680445;assistance.technique@tevgo.fr;TOTALENERGIES;TOTALENERGIES;assistance.technique@tevgo.fr;01 85 16 94 02;Belib';https://belib.paris;FRV75EPX10122;2021-11-16T16:27:32+00:00;Non accessible;aucune restriction;False;7;True;True;False;False;False;False;24/7;Direct
FR*V75*EPX12*12*6;En service;12e Arrondissement;FR*V75*PPX12*12;FRV75PPX1212;Paris | Rue des Pirogues de Bercy 44;75112;Voirie;7;2024-07-01;Accès libre;44 Rue des Pirogues de Bercy 75012 Paris;48.833412, 2.388111;false;true;true;true;false;Paiement autre - badge RFID Belib ou autre, application Belib, QRCode sur chaque PDC, site internet Belib,Plus d'information - https://belib.paris.fr;7253111325677;531680445;assistance.technique@tevgo.fr;TOTALENERGIES;TOTALENERGIES;assistance.technique@tevgo.fr;01 85 16 94 02;Belib';https://belib.paris;FRV75EPX12126;2021-10-12T15:30:17+00:00;Non accessible;aucune restriction;False;3;True;True;False;False;False;False;24/7;Direct
FR*V75*EPX12*15*7;En service;12e Arrondissement;FR*V75*PPX12*15;FRV75PPX1215;Paris | Rue Claude Decaen 26;75112;Voirie;7;2024-07-01;Accès libre;26 Rue Claude Decaen 75012 Paris;48.83519, 2.4002905;false;true;true;true;false;Paiement autre - badge RFID Belib ou autre, application Belib, QRCode sur chaque PDC, site internet Belib,Plus d'information - https://belib.paris.fr;7299276303744;531680445;assistance.technique@tevgo.fr;TOTALENERGIES;TOTALENERGIES;assistance.technique@tevgo.fr;01 85 16 94 02;Belib';https://belib.paris;FRV75EPX12157;2021-10-12T15:23:02+00:00;Réservé PMR;aucune restriction;False;7;True;True;False;False;False;False;24/7;Direct
FR*V75*EPX13*15*5;En service;13e Arrondissement;FR*V75*PPX13*15;FRV75PPX1315;Paris | Rue de Tolbiac 245;75113;Voirie;6;2024-07-01;Accès libre;245 Rue de Tolbiac 75013 Paris;48.826233, 2.34245;false;true;true;true;false;Paiement autre - badge RFID Belib ou autre, application Belib, QRCode sur chaque PDC, site internet Belib,Plus d'information - https://belib.paris.fr;7320694552131;531680445;assistance.technique@tevgo.fr;TOTALENERGIES;TOTALENERGIES;assistance.technique@tevgo.fr;01 85 16 94 02;Belib';https://belib.paris;FRV75EPX13155;2022-06-17T07:59:55+00:00;Non accessible;aucune restriction;False;7;True;True;False;False;False;False;24/7;Direct
FR*V75*EPX13*15*6;En service;13e Arrondissement;FR*V75*PPX13*15;FRV75PPX1315;Paris | Rue de Tolbiac 245;75113;Voirie;6;2024-07-01;Accès libre;245 Rue de Tolbiac 75013 Paris;48.826233, 2.34245;false;true;true;true;false;Paiement autre - badge RFID Belib ou autre, application Belib, QRCode sur chaque PDC, site internet Belib,Plus d'information - https://belib.paris.fr;7320694552131;531680445;assistance.technique@tevgo.fr;TOTALENERGIES;TOTALENERGIES;assistance.technique@tevgo.fr;01 85 16 94 02;Belib';https://belib.paris;FRV75EPX13156;2022-06-17T08:00:11+00:00;Non accessible;aucune restriction;False;7;True;True;False;False;False;False;24/7;Direct
FR*V75*EPX13*19*3;En service;13e Arrondissement;FR*V75*PPX13*19;FRV75PPX1319;Paris | Rue Jeanne D'Arc 157;75113;Voirie;4;2024-07-01;Accès libre;157 Rue Jeanne D'Arc 75013 Paris;48.83656, 2.3592348;false;true;true;true;false;Paiement autre - badge RFID Belib ou autre, application Belib, QRCode sur chaque PDC, site internet Belib,Plus d'information - https://belib.paris.fr;7348914523056;531680445;assistance.technique@tevgo.fr;TOTALENERGIES;TOTALENERGIES;assistance.technique@tevgo.fr;01 85 16 94 02;Belib';https://belib.paris;FRV75EPX13193;2021-12-01T10:28:30+00:00;Non accessible;aucune restriction;False;7;True;True;False;False;False;False;24/7;Direct
FR*V75*EPX14*13*2;En service;14e Arrondissement;FR*V75*PPX14*13;FRV75PPX1413;Paris | Boulevard Jourdan 26;75114;Voirie;7;2024-07-01;Accès libre;26 Boulevard Jourdan 75014 Paris;48.82076, 2.3370783;false;true;true;true;false;Paiement autre - badge RFID Belib ou autre, application Belib, QRCode sur chaque PDC, site internet Belib,Plus d'information - https://belib.paris.fr;7329956491363;531680445;assistance.technique@tevgo.fr;TOTALENERGIES;TOTALENERGIES;assistance.technique@tevgo.fr;01 85 16 94 02;Belib';https://belib.paris;FRV75EPX14132;2021-10-19T15:17:21+00:00;Non accessible;aucune restriction;False;3;True;True;False;False;False;False;24/7;Direct
FR*V75*EPX15*33*2;En service;15e Arrondissement;FR*V75*PPX15*33;FRV75PPX1533;Paris | Rue de Vouillé 47;75115;Voirie;4;2024-07-01;Accès libre;47 Rue de Vouillé 75015 Paris;48.83389, 2.3081343;false;true;true;true;false;Paiement autre - badge RFID Belib ou autre, application Belib, QRCode sur chaque PDC, site internet Belib,Plus d'information - https://belib.paris.fr;7480318278614;531680445;assistance.technique@tevgo.fr;TOTALENERGIES;TOTALENERGIES;assistance.technique@tevgo.fr;01 85 16 94 02;Belib';https://belib.paris;FRV75EPX15332;2021-11-09T10:52:04+00:00;Non accessible;aucune restriction;False;7;True;True;False;False;False;False;24/7;Direct
FR*V75*EPX16*23*2;En service;16e Arrondissement;FR*V75*PPX16*23;FRV75PPX1623;Paris | Avenue Victor Hugo 18;75116;Voirie;6;2024-07-01;Accès libre;18 Avenue Victor Hugo 75016 Paris;48.87244, 2.2915578;false;true;true;true;false;Paiement autre - badge RFID Belib ou autre, application Belib, QRCode sur chaque PDC, site internet Belib,Plus d'information - https://belib.paris.fr;7467004241042;531680445;assistance.technique@tevgo.fr;TOTALENERGIES;TOTALENERGIES;assistance.technique@tevgo.fr;01 85 16 94 02;Belib';https://belib.paris;FRV75EPX16232;2021-11-09T10:50:50+00:00;Non accessible;aucune restriction;False;7;True;True;False;False;False;False;24/7;Direct
FR*V75*EPX16*23*1;En service;16e Arrondissement;FR*V75*PPX16*23;FRV75PPX1623;Paris | Avenue Victor Hugo 18;75116;Voirie;6;2024-07-01;Accès libre;18 Avenue Victor Hugo 75016 Paris;48.87244, 2.2915578;false;true;true;true;false;Paiement autre - badge RFID Belib ou autre, application Belib, QRCode sur chaque PDC, site internet Belib,Plus d'information - https://belib.paris.fr;7467004241042;531680445;assistance.technique@tevgo.fr;TOTALENERGIES;TOTALENERGIES;assistance.technique@tevgo.fr;01 85 16 94 02;Belib';https://belib.paris;FRV75EPX16231;2021-11-09T10:50:42+00:00;Non accessible;aucune restriction;False;7;True;True;False;False;False;False;24/7;Direct
FR*V75*EPX16*29*4;En service;16e Arrondissement;FR*V75*PPX16*29;FRV75PPX1629;Paris | Rue Rémusat 8;75116;Voirie;6;2024-07-01;Accès libre;8 Rue Rémusat 75016 Paris;48.847847, 2.272306;false;true;true;true;false;Paiement autre - badge RFID Belib ou autre, application Belib, QRCode sur chaque PDC, site internet Belib,Plus d'information - https://belib.paris.fr;7466280651916;531680445;assistance.technique@tevgo.fr;TOTALENERGIES;TOTALENERGIES;assistance.technique@tevgo.fr;01 85 16 94 02;Belib';https://belib.paris;FRV75EPX16294;2021-10-19T15:16:58+00:00;Non accessible;aucune restriction;False;7;True;True;False;False;False;False;24/7;Direct
FR*V75*EPX17*17*4;En service;17e Arrondissement;FR*V75*PPX17*17;FRV75PPX1717;Paris | Boulevard Pereire 50;75117;Voirie;4;2024-07-01;Accès libre;50 Boulevard Pereire 75017 Paris;48.887695, 2.3050365;false;true;true;true;false;Paiement autre - badge RFID Belib ou autre, application Belib, QRCode sur chaque PDC, site internet Belib,Plus d'information - https://belib.paris.fr;7570332753657;531680445;assistance.technique@tevgo.fr;TOTALENERGIES;TOTALENERGIES;assistance.technique@tevgo.fr;01 85 16 94 02;Belib';https://belib.paris;FRV75EPX17174;2021-12-01T09:59:21+00:00;Non accessible;aucune restriction;False;7;True;True;False;False;False;False;24/7;Direct
FR*V75*EPX17*22*5;En service;17e Arrondissement;FR*V75*PPX17*22;FRV75PPX1722;Paris | Avenue de Niel 28;75117;Voirie;5;2024-07-01;Accès libre;28 Avenue de Niel 75017 Paris;48.88103, 2.2956283;false;true;true;true;false;Paiement autre - badge RFID Belib ou autre, application Belib, QRCode sur chaque PDC, site internet Belib,Plus d'information - https://belib.paris.fr;7575687312194;531680445;assistance.technique@tevgo.fr;TOTALENERGIES;TOTALENERGIES;assistance.technique@tevgo.fr;01 85 16 94 02;Belib';https://belib.paris;FRV75EPX17225;2021-11-23T16:28:23+00:00;Non accessible;aucune restriction;False;7;True;True;False;False;False;False;24/7;Direct
FR*V75*EPX18*15*2;En service;18e Arrondissement;FR*V75*PPX18*15;FRV75PPX1815;Paris | Rue Marcadet 220;75118;Voirie;7;2024-07-01;Accès libre;220 Rue Marcadet 75018 Paris;48.892082, 2.3331354;false;true;true;true;false;Paiement autre - badge RFID Belib ou autre, application Belib, QRCode sur chaque PDC, site internet Belib,Plus d'information - https://belib.paris.fr;7532271971233;531680445;assistance.technique@tevgo.fr;TOTALENERGIES;TOTALENERGIES;assistance.technique@tevgo.fr;01 85 16 94 02;Belib';https://belib.paris;FRV75EPX18152;2021-10-26T13:59:02+00:00;Non accessible;aucune restriction;False;3;True;True;False;False;False;False;24/7;Direct
FR*V75*EPX19*14*1;En service;19e Arrondissement;FR*V75*PPX19*14;FRV75PPX1914;Paris | Rue Jules Romains 1;75119;Voirie;5;2024-07-01;Accès libre;1 Rue Jules Romains 75019 Paris;48.87274, 2.3782985;false;true;true;true;false;Paiement autre - badge RFID Belib ou autre, application Belib, QRCode sur chaque PDC, site internet Belib,Plus d'information - https://belib.paris.fr;7235745189551;531680445;assistance.technique@tevgo.fr;TOTALENERGIES;TOTALENERGIES;assistance.technique@tevgo.fr;01 85 16 94 02;Belib';https://belib.paris;FRV75EPX19141;2021-11-03T09:25:34+00:00;Non accessible;aucune restriction;False;7;True;True;False;False;False;False;24/7;Direct
FR*V75*EPX20*19*2;En service;20e Arrondissement;FR*V75*PPX20*19;FRV75PPX2019;Paris | Rue des Pyrénées 137;75120;Voirie;6;2024-07-01;Accès libre;137 Rue des Pyrénées 75020 Paris;48.85844, 2.402911;false;true;true;true;false;Paiement autre - badge RFID Belib ou autre, application Belib, QRCode sur chaque PDC, site internet Belib,Plus d'information - https://belib.paris.fr;7269319719251;531680445;assistance.technique@tevgo.fr;TOTALENERGIES;TOTALENERGIES;assistance.technique@tevgo.fr;01 85 16 94 02;Belib';https://belib.paris;FRV75EPX20192;2021-11-03T09:11:39+00:00;Non accessible;aucune restriction;False;7;True;True;False;False;False;False;24/7;Direct
FR*V75*EPX16*31*1;En service;16e Arrondissement;FR*V75*PPX16*31;FRV75PPX1631;Paris | Avenue Marceau  59;75116;Voirie;5;2024-07-01;Accès libre;59 Avenue Marceau 75016 Paris;48.869892, 2.2976446;false;true;true;true;false;Paiement autre - badge RFID Belib ou autre, application Belib, QRCode sur chaque PDC, site internet Belib,Plus d'information - https://belib.paris.fr;7409406555693;531680445;assistance.technique@tevgo.fr;TOTALENERGIES;TOTALENERGIES;assistance.technique@tevgo.fr;01 85 16 94 02;Belib';https://belib.paris;FRV75EPX16311;2023-03-16T14:38:49+00:00;Non accessible;aucune restriction;False;7;True;True;False;False;False;False;24/7;Direct
FR*V75*EPX11*18*4;En service;11e Arrondissement;FR*V75*PPX11*18;FRV75PPX1118;Paris | avenue de la République 105;75111;Voirie;5;2024-07-01;Accès libre;105 avenue de la République 75011 Paris;48.86322, 2.3862243;false;true;true;true;false;Paiement autre - badge RFID Belib ou autre, application Belib, QRCode sur chaque PDC, site internet Belib,Plus d'information - https://belib.paris.fr;50005294538388;531680445;assistance.technique@tevgo.fr;TOTALENERGIES;TOTALENERGIES;assistance.technique@tevgo.fr;01 85 16 94 02;Belib';https://belib.paris;FRV75EPX11184;2023-03-29T10:27:40+00:00;Non accessible;aucune restriction;False;7;True;True;False;False;False;False;24/7;Direct
